F1,L1,p1@gmail.com,1234567890,A,C,D,E
F2,L2,p2@gmail.com,1234567891,A,C,D,E
F3,L3,p3@gmail.com,1234567892,A,C,D,E
F4,L4,p4@gmail.com,1234567893,A,C,D,E
F5,L5,p5@gmail.com,1234567894,A,C,D,E
F6,L6,p6@gmail.com,1234567895,A,C,D,E
F7,L7,p7@gmail.com,1234567896,A,C,D,E
F8,L8,p8@gmail.com,1234567897,A,C,D,E
F9,L9,p9@gmail.com,1234567898,A,C,D,E
F10,L10,p10@gmail.com,1234567899,A,C,D,E
F11,L11,p11@gmail.com,1234567900,A,C,D,E
F12,L12,p12@gmail.com,1234567901,A,C,D,E
F13,L13,p13@gmail.com,1234567902,A,C,D,E
F14,L14,p14@gmail.com,1234567903,A,C,D,E
F15,L15,soukarshamoulik@gmail.com,1234567904,A,E,AE_1,C01
F16,L16,curious6583@gmail.com,1234567905,A,E,AE_2,C01
